<-0.9510565162951535, 0.3090169943749475, 0.0>,<-0.3090169943749475, -0.9510565162951535, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.8540806854634665>,
<-0.9781476007338057, 0.20791169081775931, 0.0>,<-0.20791169081775931, -0.9781476007338057, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.9004040442978399>,
<-0.9945218953682733, 0.10452846326765373, 0.0>,<-0.10452846326765373, -0.9945218953682733, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, 0.9489645667148796>,
<-1.0, 1.2246467991473532e-16, 0.0>,<-1.2246467991473532e-16, -1.0, 0.0>,<0.0, 0.0, 1.0>,<-0.0, -0.0, -1.0>,
<-0.9945218953682733, -0.1045284632676535, 0.0>,<0.1045284632676535, -0.9945218953682733, 0.0>,<0.0, 0.0, 1.0>,<-0.0, -0.0, -0.9489645667148797>,
<-0.9781476007338057, -0.20791169081775907, 0.0>,<0.20791169081775907, -0.9781476007338057, 0.0>,<0.0, 0.0, 1.0>,<-0.0, -0.0, -0.9004040442978399>,
<-0.9510565162951536, -0.3090169943749473, 0.0>,<0.3090169943749473, -0.9510565162951536, 0.0>,<0.0, 0.0, 1.0>,<-0.0, -0.0, -0.8540806854634669>,
<-0.9135454576426009, -0.4067366430758002, 0.0>,<0.4067366430758002, -0.9135454576426009, 0.0>,<0.0, 0.0, 1.0>,<-0.0, -0.0, -0.8097840331950072>,
<-0.8660254037844388, -0.4999999999999997, 0.0>,<0.4999999999999997, -0.8660254037844388, 0.0>,<0.0, 0.0, 1.0>,<-0.0, -0.0, -0.7673269879789606>,
<-0.8090169943749475, -0.587785252292473, 0.0>,<0.587785252292473, -0.8090169943749475, 0.0>,<0.0, 0.0, 1.0>,<-0.0, -0.0, -0.726542528005361>,
<-0.7431448254773942, -0.6691306063588582, 0.0>,<0.6691306063588582, -0.7431448254773942, 0.0>,<0.0, 0.0, 1.0>,<-0.0, -0.0, -0.6872809586016133>,
<-0.6691306063588585, -0.743144825477394, 0.0>,<0.743144825477394, -0.6691306063588585, 0.0>,<0.0, 0.0, 1.0>,<-0.0, -0.0, -0.6494075931975106>,
<-0.5877852522924732, -0.8090169943749473, 0.0>,<0.8090169943749473, -0.5877852522924732, 0.0>,<0.0, 0.0, 1.0>,<-0.0, -0.0, -0.6128007881399321>,
<-0.5000000000000004, -0.8660254037844385, 0.0>,<0.8660254037844385, -0.5000000000000004, 0.0>,<0.0, 0.0, 1.0>,<-0.0, -0.0, -0.577350269189626>,
<-0.4067366430758001, -0.913545457642601, 0.0>,<0.913545457642601, -0.4067366430758001, 0.0>,<0.0, 0.0, 1.0>,<-0.0, -0.0, -0.5429556996384369>,
<-0.30901699437494756, -0.9510565162951535, 0.0>,<0.9510565162951535, -0.30901699437494756, 0.0>,<0.0, 0.0, 1.0>,<-0.0, -0.0, -0.509525449494429>,
<-0.2079116908177598, -0.9781476007338056, 0.0>,<0.9781476007338056, -0.2079116908177598, 0.0>,<0.0, 0.0, 1.0>,<-0.0, -0.0, -0.47697553269816034>,
<-0.10452846326765336, -0.9945218953682734, 0.0>,<0.9945218953682734, -0.10452846326765336, 0.0>,<0.0, 0.0, 1.0>,<-0.0, -0.0, -0.445228685308536>,
<-1.8369701987210297e-16, -1.0, 0.0>,<1.0, -1.8369701987210297e-16, 0.0>,<0.0, 0.0, 1.0>,<-0.0, -0.0, -0.41421356237309503>,
<0.10452846326765299, -0.9945218953682734, 0.0>,<0.9945218953682734, 0.10452846326765299, 0.0>,<0.0, 0.0, 1.0>,<0.0, 0.0, -0.3838640350354159>,
